IdProducto	Producto	Color	Precio Catálogo	Tamaño	Rango Tamaño	Línea	Modelo	IdSubcategoría
592	Montaña-500 Plateado, 42	Plateado	564,99	42	42-46 CM	M	Montaña-500	2
412	HL Montaña Rueda delantera	Negro	300,215		NA	M	HL Montaña Rueda delantera	17
18	Ruta Tapas de los extremos	NA	null		NA			3
222	Deporte-100 Casco, Azul	Azul	34,99		NA	S	Deporte-100	8
182	HL Montaña Llanta	NA	null		NA			3
37	HL Cinta de agarre	NA	null		NA			3
440	HL Ruta Marco - Negro, 44	Negro	1431,5	44	42-46 CM	R	HL Ruta Marco	7
207	Tubo superior	NA	null		NA			3
586	Turismo-3000 Azul, 50	Azul	742,35	50	48-52 CM	T	Turismo-3000	1
582	Ruta-350-W Amarillo, 44	Amarillo	1700,99	44	42-46 CM	R	Ruta-350-W	4
83	Externo Candado 4	NA	null		NA			3
365	Montaña-300 Negro, 40	Negro	1079,99	40	38-40 CM	M	Montaña-300	2
453	Pantalón corto deportivo de Hombre, M	Negro	59,99	M	M	S	Pantalón corto deportivo de Hombre	14
519	ML Ruta Asiento/Sillín	NA	39,14		NA	T	ML Ruta Asiento/Sillín 2	16
450	Luces traseras Rojas	NA	13,99		NA	R	Luz de cola	24
475	Pantalón corto Mujer Montaña, M	Negro	69,99	M	M	M	Pantalón corto Mujer Montaña	14
380	Ruta-250 Negro, 58	Negro	2443,35	58	54-58 CM	R	Ruta-250	4
384	Ruta-550-W Amarillo, 40	Amarillo	1120,49	40	38-40 CM	R	Ruta-550-W	4
445	Pantalón corto deportivo de Hombre, S	Negro	59,99	S	S	S	Pantalón corto deportivo de Hombre	14
88	Externo Candado 1	NA	null		NA			3
455	Pantalón corto deportivo de Hombre, XL	Negro	59,99	XL	XL	S	Pantalón corto deportivo de Hombre	14
358	Montaña-200 Negro, 38	Negro	2049,0982	38	38-40 CM	M	Montaña-200	2
93	Interno Candado 9	NA	null		NA			3
294	HL Montaña Marco - Plateado, 46	Plateado	1240,4545	46	42-46 CM	M	HL Montaña Marco	10
439	HL Ruta Marco - Negro, 44	Negro	1301,3636	44	42-46 CM	R	HL Ruta Marco	7
458	Licra de mujer L	Negro	74,99	L	L	S	Mallas de mujer	23
233	Manga larga Jersey, L	Múltiple	48,0673	L	L	S	Manga larga Jersey	9
196	LL Eje	NA	null		NA			3
98	Interno Candado 1	NA	null		NA			3
382	Ruta-550-W Amarillo, 38	Amarillo	1120,49	38	38-40 CM	R	Ruta-550-W	4
404	LL Ruta Manillar	NA	44,54		NA	R	LL Ruta Manillar	6
572	Turismo-3000 Amarillo, 62	Amarillo	742,35	62	60-62 CM	T	Turismo-3000	1
6	LL Biela	Negro	null		NA			3
276	ML Ruta Marco - Rojo, 52	Rojo	594,83	52	48-52 CM	R	ML Ruta Marco	7
5	Espada	NA	null		NA			3
14	Calcomanía 1	NA	null		NA			3
103	Candado fino 1	NA	null		NA			3
593	Montaña-500 Plateado, 44	Plateado	564,99	44	42-46 CM	M	Montaña-500	2
574	Turismo-1000 Azul, 50	Azul	2384,07	50	48-52 CM	T	Turismo-1000	1
143	Candado 5	NA	null		NA			3
348	Montaña-100 Negro, 38	Negro	3374,99	38	38-40 CM	M	Montaña-100	2
279	LL Ruta Marco - Negro, 44	Negro	297,6346	44	42-46 CM	R	LL Ruta Marco	7
442	HL Ruta Marco - Negro, 48	Negro	1431,5	48	48-52 CM	R	HL Ruta Marco	7
198	LL Armazón	NA	null		NA			3
108	Candado fino 6	NA	null		NA			3
216	Deporte-100 Casco, Negro	Negro	33,6442		NA	S	Deporte-100	8
148	Candado 1	NA	null		NA			3
543	ML Montaña Pedal	Plateado/Negro	62,09		NA	M	ML Montaña Pedal	18
287	LL Ruta Marco - Negro, 52	Negro	337,22	52	48-52 CM	R	LL Ruta Marco	7
291	HL Montaña Marco - Plateado, 44	Plateado	1364,5	44	42-46 CM	M	HL Montaña Marco	10
21	Rueda libre	Plateado	null		NA			3
213	Deporte-100 Casco, Rojo	Rojo	33,6442		NA	S	Deporte-100	8
41	Candado hexagonal 2	NA	null		NA			3
113	Candado fino 7	NA	null		NA			3
390	Ruta-550-W Amarillo, 48	Amarillo	1120,49	48	48-52 CM	R	Ruta-550-W	4
236	Manga larga Jersey, XL	Múltiple	48,0673	XL	XL	S	Manga larga Jersey	9
153	Candado 3	NA	null		NA			3
518	LL Ruta Asiento/Sillín	NA	27,12		NA	R	LL Ruta Asiento/Sillín 1	16
344	Montaña-100 Plateado, 38	Plateado	3399,99	38	38-40 CM	M	Montaña-100	2
7	ML Biela	Negro	null		NA			3
353	Montaña-200 Plateado, 38	Plateado	2319,99	38	38-40 CM	M	Montaña-200	2
419	LL Montaña Rueda trasera	Negro	87,745		NA	M	LL Montaña Rueda trasera	17
420	ML Montaña Rueda trasera	Negro	236,025		NA	M	ML Montaña Rueda trasera	17
46	Candado hexagonal 3	NA	null		NA			3
118	Candado de bloqueo 6	NA	null		NA			3
534	LL Montaña Marco - Negro, 52	Negro	249,79	52	48-52 CM	M	LL Montaña Marco	10
563	Turismo-1000 Amarillo, 54	Amarillo	2384,07	54	54-58 CM	T	Turismo-1000	1
158	Placa metálica 2	NA	null		NA			3
51	Candado hexagonal 8	NA	null		NA			3
123	Candado de bloqueo 9	NA	null		NA			3
297	HL Montaña Marco - Negro, 42	Negro	1226,9091	42	42-46 CM	M	HL Montaña Marco	10
25	Candado plano 9	NA	null		NA			3
441	HL Ruta Marco - Negro, 48	Negro	1301,3636	48	48-52 CM	R	HL Ruta Marco	7
163	Lámina de metal 7	NA	null		NA			3
576	Turismo-1000 Azul, 60	Azul	2384,07	60	60-62 CM	T	Turismo-1000	1
56	Tuerca Hexagonal 16	NA	null		NA			3
128	Candado de bloqueo 1	NA	null		NA			3
535	LL Montaña Neumáticos	NA	24,99		NA	M	LL Montaña Neumáticos	13
528	Montaña Neumáticos Tube	NA	4,99		NA	M	Montaña Neumáticos Tube	13
30	Candado plano 7	NA	null		NA			3
556	LL Platos y bielas	Negro	175,49		NA		LL Platos y bielas	25
168	Placa de rodadura de metal	NA	null		NA			3
595	Montaña-500 Plateado, 52	Plateado	564,99	52	48-52 CM	M	Montaña-500	2
227	Manga larga Jersey, S	Múltiple	48,0673	S	S	S	Manga larga Jersey	9
217	Deporte-100 Casco, Negro	Negro	34,99		NA	S	Deporte-100	8
500	HL Turismo Marco - Azul, 60	Azul	1003,91	60	60-62 CM	T	HL Turismo Marco	12
61	Tuerca Hexagonal 22	NA	null		NA			3
133	Candado de bloqueo 21	NA	null		NA			3
214	Deporte-100 Casco, Rojo	Rojo	34,99		NA	S	Deporte-100	8
451	Faros delanteros	NA	34,99		NA	R	Faros delanteros	24
241	HL Ruta Marco - Rojo, 44	Rojo	1263,4598	44	42-46 CM	R	HL Ruta Marco	7
371	Ruta-250 Rojo, 58	Rojo	2181,5625	58	54-58 CM	R	Ruta-250	4
66	Tuerca Hexagonal 10	NA	null		NA			3
138	Candado de bloqueo 19	NA	null		NA			3
388	Ruta-550-W Amarillo, 44	Amarillo	1120,49	44	42-46 CM	R	Ruta-550-W	4
192	HL Ruta Embalaje del asiento	NA	null		NA			3
79	LL Cubo	NA	null		NA			3
533	LL Montaña Marco - Negro, 48	Negro	249,79	48	48-52 CM	M	LL Montaña Marco	10
277	ML Ruta Marco - Rojo, 58	Rojo	594,83	58	54-58 CM	R	ML Ruta Marco	7
328	Ruta-650 Rojo, 48	Rojo	699,0982	48	48-52 CM	R	Ruta-650	4
360	Montaña-200 Negro, 42	Negro	2049,0982	42	42-46 CM	M	Montaña-200	2
478	Montaña Porta botella	NA	9,99		NA	M	Montaña Porta botella	11
284	LL Ruta Marco - Negro, 48	Negro	337,22	48	48-52 CM	R	LL Ruta Marco	7
513	ML Montaña Marco-W - Plateado, 46	Plateado	364,09	46	42-46 CM	M	ML Montaña Marco-W	10
71	Tuerca Hexagonal 3	NA	null		NA			3
521	LL Turismo Asiento/Sillín	NA	27,12		NA	T	LL Turismo Asiento/Sillín	16
303	HL Montaña Marco - Negro, 46	Negro	1349,6	46	42-46 CM	M	HL Montaña Marco	10
524	LL Montaña Marco - Plateado, 42	Plateado	264,05	42	42-46 CM	M	LL Montaña Marco	10
337	Ruta-650 Negro, 62	Negro	782,99	62	60-62 CM	R	Ruta-650	4
362	Montaña-200 Negro, 46	Negro	2049,0982	46	42-46 CM	M	Montaña-200	2
76	Tuerca Hexagonal 19	NA	null		NA			3
33	Desviador delantero Enlace	Plateado	null		NA			3
1	Carrera Ajustable	NA	null		NA			3
175	Pintura - Amarillo	NA	null		NA			3
179	Reflector	NA	null		NA			3
34	Polea guía	NA	null		NA			3
259	LL Ruta Marco - Negro, 62	Negro	297,6346	62	60-62 CM	R	LL Ruta Marco	7
421	HL Montaña Rueda trasera	Negro	327,215		NA	M	HL Montaña Rueda trasera	17
204	Tubo de dirección	NA	null		NA			3
274	ML Ruta Marco - Rojo, 44	Rojo	594,83	44	42-46 CM	R	ML Ruta Marco	7
257	LL Ruta Marco - Negro, 60	Negro	306,5636	60	60-62 CM	R	LL Ruta Marco	7
193	LL Turismo Embalaje del asiento	NA	null		NA			3
352	Montaña-200 Plateado, 38	Plateado	2071,4196	38	38-40 CM	M	Montaña-200	2
255	LL Ruta Marco - Negro, 58	Negro	337,22	58	54-58 CM	R	LL Ruta Marco	7
402	HL Montaña Manillar	NA	120,27		NA	M	HL Montaña Manillar	6
481	Calcetines de carreras, M	Blanco	8,99	M	M	R	Calcetines de carreras	26
554	HL Turismo Manillar	NA	91,57		NA	T	HL Turismo Manillar	6
197	HL Eje	NA	null		NA			3
529	Ruta Tubo de neumáticos	NA	3,99		NA	R	Ruta Tubo de neumáticos	13
512	ML Montaña Marco-W - Plateado, 42	Plateado	364,09	42	42-46 CM	M	ML Montaña Marco-W	10
335	Ruta-650 Negro, 60	Negro	782,99	60	60-62 CM	R	Ruta-650	4
85	Externo Candado 5	NA	null		NA			3
601	LL Pedal	NA	53,99		NA		LL Pedal	18
452	Faros - Impermeable	NA	44,99		NA	R	Faros - Impermeable	24
271	LL Ruta Marco - Rojo, 60	Rojo	337,22	60	60-62 CM	R	LL Ruta Marco	7
504	LL Turismo Marco - Azul, 58	Azul	333,42	58	54-58 CM	T	LL Turismo Marco	12
273	LL Ruta Marco - Rojo, 62	Rojo	337,22	62	60-62 CM	R	LL Ruta Marco	7
180	LL Montaña Llanta	NA	null		NA			3
169	LL Protector	NA	null		NA			3
238	HL Ruta Marco - Rojo, 62	Rojo	1263,4598	62	60-62 CM	R	HL Ruta Marco	7
570	Turismo-3000 Amarillo, 54	Amarillo	742,35	54	54-58 CM	T	Turismo-3000	1
355	Montaña-200 Plateado, 42	Plateado	2319,99	42	42-46 CM	M	Montaña-200	2
90	Externo Candado 2	NA	null		NA			3
35	LL Cinta de agarre	NA	null		NA			3
309	HL Montaña Marco - Plateado, 38	Plateado	1364,5	38	38-40 CM	M	HL Montaña Marco	10
199	HL Armazón	NA	null		NA			3
403	LL Ruta Manillar	NA	40,4909		NA	R	LL Ruta Manillar	6
230	Manga larga Jersey, M	Múltiple	48,0673	M	M	S	Manga larga Jersey	9
194	ML Turismo Embalaje del asiento	NA	null		NA			3
317	Ruta-450 Rojo, 44	Rojo	1457,99	44	42-46 CM	R	Ruta-450	4
357	Montaña-200 Plateado, 46	Plateado	2319,99	46	42-46 CM	M	Montaña-200	2
170	HL Protector	NA	null		NA			3
332	Ruta-650 Negro, 58	Negro	699,0982	58	54-58 CM	R	Ruta-650	4
95	Interno Candado 7	NA	null		NA			3
319	Ruta-450 Rojo, 52	Rojo	1457,99	52	48-52 CM	R	Ruta-450	4
368	Ruta-250 Rojo, 44	Rojo	2443,35	44	42-46 CM	R	Ruta-250	4
218	Montaña Bicicleta Calcetines, M	Blanco	9,5	M	M	M	Montaña Bicicleta Calcetines	26
370	Ruta-250 Rojo, 52	Rojo	2443,35	52	48-52 CM	R	Ruta-250	4
366	Montaña-300 Negro, 44	Negro	1079,99	44	42-46 CM	M	Montaña-300	2
479	Ruta Porta botella	NA	8,99		NA	R	Ruta Porta botella	11
263	LL Ruta Marco - Rojo, 44	Rojo	337,22	44	42-46 CM	R	LL Ruta Marco	7
573	Turismo-1000 Azul, 46	Azul	2384,07	46	42-46 CM	T	Turismo-1000	1
290	HL Montaña Marco - Plateado, 42	Plateado	1364,5	42	42-46 CM	M	HL Montaña Marco	10
100	Interno Candado 2	NA	null		NA			3
604	Ruta-750 Negro, 44	Negro	539,99	44	42-46 CM	R	Ruta-750	4
300	HL Montaña Marco - Negro, 48	Negro	1349,6	48	48-52 CM	M	HL Montaña Marco	10
13	Cadena S.	NA	null		NA			3
606	Ruta-750 Negro, 52	Negro	539,99	52	48-52 CM	R	Ruta-750	4
11	Plato	Negro	null		NA			3
301	HL Montaña Marco - Negro, 46	Negro	1191,1739	46	42-46 CM	M	HL Montaña Marco	10
105	Candado fino 15	NA	null		NA			3
36	ML Cinta de agarre	NA	null		NA			3
351	Montaña-100 Negro, 48	Negro	3374,99	48	48-52 CM	M	Montaña-100	2
145	Candado 6	NA	null		NA			3
499	HL Turismo Marco - Azul, 54	Azul	1003,91	54	54-58 CM	T	HL Turismo Marco	12
38	Candado hexagonal 9	NA	null		NA			3
232	Manga larga Jersey, L	Múltiple	48,0673	L	L	S	Manga larga Jersey	9
444	HL Ruta Marco - Negro, 52	Negro	1431,5	52	48-52 CM	R	HL Ruta Marco	7
110	Candado fino 4	NA	null		NA			3
326	Ruta-650 Rojo, 44	Rojo	699,0982	44	42-46 CM	R	Ruta-650	4
507	LL Turismo Marco - Amarillo, 50	Amarillo	333,42	50	48-52 CM	T	LL Turismo Marco	12
150	Candado 12	NA	null		NA			3
560	Turismo-2000 Azul, 60	Azul	1214,85	60	60-62 CM	T	Turismo-2000	1
321	Ruta-650 Rojo, 58	Rojo	782,99	58	54-58 CM	R	Ruta-650	4
43	Candado hexagonal 16	NA	null		NA			3
115	Candado fino 12	NA	null		NA			3
392	ML Tenedor	NA	175,49		NA		ML Tenedor	27
347	Montaña-100 Plateado, 48	Plateado	3399,99	48	48-52 CM	M	Montaña-100	2
155	Ángulo de metal	NA	null		NA			3
547	HL Ruta Pedal	Plateado/Negro	80,99		NA	R	HL Ruta Pedal	18
48	Candado hexagonal 13	NA	null		NA			3
120	Candado de bloqueo 17	NA	null		NA			3
22	Candado plano 1	NA	null		NA			3
160	Placa metálica 3	NA	null		NA			3
342	Ruta-650 Negro, 52	Negro	699,0982	52	48-52 CM	R	Ruta-650	4
578	Turismo-2000 Azul, 50	Azul	1214,85	50	48-52 CM	T	Turismo-2000	1
80	HL Cubo	NA	null		NA			3
53	Candado hexagonal 11	NA	null		NA			3
125	Candado de bloqueo 23	NA	null		NA			3
27	Candado plano 3	NA	null		NA			3
270	LL Ruta Marco - Rojo, 60	Rojo	306,5636	60	60-62 CM	R	LL Ruta Marco	7
278	ML Ruta Marco - Rojo, 60	Rojo	594,83	60	60-62 CM	R	ML Ruta Marco	7
422	LL Ruta Rueda trasera	Negro	112,565		NA	R	LL Ruta Rueda trasera	17
415	HL Ruta Rueda delantera	Negro	330,06		NA	R	HL Ruta Rueda delantera	17
272	LL Ruta Marco - Rojo, 62	Rojo	306,5636	62	60-62 CM	R	LL Ruta Marco	7
165	Lámina de metal 5	NA	null		NA			3
443	HL Ruta Marco - Negro, 52	Negro	1301,3636	52	48-52 CM	R	HL Ruta Marco	7
265	LL Ruta Marco - Rojo, 48	Rojo	337,22	48	48-52 CM	R	LL Ruta Marco	7
235	Manga larga Jersey, XL	Múltiple	48,0673	XL	XL	S	Manga larga Jersey	9
354	Montaña-200 Plateado, 42	Plateado	2071,4196	42	42-46 CM	M	Montaña-200	2
77	Tubo de manillar	NA	null		NA			3
58	Tuerca Hexagonal 7	NA	null		NA			3
130	Candado de bloqueo 11	NA	null		NA			3
356	Montaña-200 Plateado, 46	Plateado	2071,4196	46	42-46 CM	M	Montaña-200	2
378	Ruta-250 Negro, 52	Negro	2443,35	52	48-52 CM	R	Ruta-250	4
545	LL Ruta Pedal	Plateado/Negro	40,49		NA	R	LL Ruta Pedal	18
532	LL Montaña Marco - Negro, 44	Negro	249,79	44	42-46 CM	M	LL Montaña Marco	10
63	Tuerca Hexagonal 12	NA	null		NA			3
135	Candado de bloqueo 14	NA	null		NA			3
140	Anillo de cierre	Plateado	null		NA			3
269	LL Ruta Marco - Rojo, 58	Rojo	337,22	58	54-58 CM	R	LL Ruta Marco	7
189	HL Montaña Embalaje del asiento	NA	null		NA			3
306	HL Montaña Marco - Negro, 38	Negro	1349,6	38	38-40 CM	M	HL Montaña Marco	10
262	LL Ruta Marco - Rojo, 44	Rojo	306,5636	44	42-46 CM	R	LL Ruta Marco	7
467	Guantes media mano, L	Negro	24,49	L	L	S	Guantes media mano	5
9	Tornillos de platón	Plateado	null		NA			3
68	Tuerca Hexagonal 2	NA	null		NA			3
497	HL Turismo Marco - Azul, 46	Azul	1003,91	46	42-46 CM	T	HL Turismo Marco	12
571	Turismo-3000 Amarillo, 58	Amarillo	742,35	58	54-58 CM	T	Turismo-3000	1
555	Frenos delanteros	Plateado	106,5		NA		Frenos delanteros	28
493	LL Turismo Marco - Amarillo, 62	Amarillo	333,42	62	60-62 CM	T	LL Turismo Marco	12
469	Guantes de dedo completo, M	Negro	37,99	M	M	M	Guantes de dedo completo	5
375	Ruta-250 Negro, 48	Negro	2181,5625	48	48-52 CM	R	Ruta-250	4
542	LL Montaña Pedal	Plateado/Negro	40,49		NA	M	LL Montaña Pedal	18
331	Ruta-650 Rojo, 52	Rojo	782,99	52	48-52 CM	R	Ruta-650	4
210	HL Ruta Marco - Negro, 58	Negro	null	58	54-58 CM	R	HL Ruta Marco	7
226	Manga larga Jersey, S	Múltiple	48,0673	S	S	S	Manga larga Jersey	9
559	Cadena	Plateado	20,24		NA		Cadena	29
464	Guantes media mano, M	Negro	23,5481	M	M	S	Guantes media mano	5
417	ML Ruta Marco-W - Amarillo, 38	Amarillo	540,7545	38	38-40 CM	R	ML Ruta Marco-W	7
73	Tuerca Hexagonal 15	NA	null		NA			3
407	HL Ruta Manillar	NA	109,3364		NA	R	HL Ruta Manillar	6
575	Turismo-1000 Azul, 54	Azul	2384,07	54	54-58 CM	T	Turismo-1000	1
503	LL Turismo Marco - Azul, 54	Azul	333,42	54	54-58 CM	T	LL Turismo Marco	12
