IdProducto	Producto	Color	Precio Catálogo	Tamaño	Rango Tamaño	Línea	Modelo	Subcategoría	Categoría
437	HL Ruta Marco - Negro, 62	Negro	1301,3636	62	60-62 CM	R	HL Ruta Marco	Ruta Marco	Componentes
247	HL Ruta Marco - Rojo, 52	Rojo	1263,4598	52	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
282	LL Ruta Marco - Negro, 48	Negro	297,6346	48	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
242	HL Ruta Marco - Rojo, 44	Rojo	1301,3636	44	42-46 CM	R	HL Ruta Marco	Ruta Marco	Componentes
220	Deporte-100 Casco, Azul	Azul	33,6442		NA	S	Deporte-100	Cascos	Accesorios
237	Manga larga Jersey, XL	Múltiple	49,99	XL	XL	S	Manga larga Jersey	Jerseys	Ropa
228	Manga larga Jersey, S	Múltiple	49,99	S	S	S	Manga larga Jersey	Jerseys	Ropa
305	HL Montaña Marco - Negro, 38	Negro	1226,9091	38	38-40 CM	M	HL Montaña Marco	Montaña Marco	Componentes
426	ML Montaña Marco - Negro, 40	Negro	348,76	40	38-40 CM	M	ML Montaña Marco	Montaña Marco	Componentes
477	Botella de agua - 30	NA	4,99		NA	S	Botella de agua	Botella y estuche	Accesorios
498	HL Turismo Marco - Azul, 50	Azul	1003,91	50	48-52 CM	T	HL Turismo Marco	Turismo Marco	Componentes
536	ML Montaña Neumáticos	NA	29,99		NA	M	ML Montaña Neumáticos	Neumáticos y tubos	Accesorios
537	HL Montaña Neumáticos	NA	35		NA	M	HL Montaña Neumáticos	Neumáticos y tubos	Accesorios
476	Pantalón corto Mujer Montaña, L	Negro	69,99	L	L	M	Pantalón corto Mujer Montaña	Pantalones cortos	Ropa
471	Chaleco clásico, S	Azul	63,5	S	S	S	Chaleco clásico	Chalecos	Ropa
539	ML Ruta Neumáticos	NA	24,99		NA	R	ML Ruta Neumáticos	Neumáticos y tubos	Accesorios
146	Candado 13	NA	null		NA			null	null
315	Ruta-450 Rojo, 58	Rojo	1457,99	58	54-58 CM	R	Ruta-450	Ruta Bicicletas	Bicicletas
580	Ruta-350-W Amarillo, 40	Amarillo	1700,99	40	38-40 CM	R	Ruta-350-W	Ruta Bicicletas	Bicicletas
39	Candado hexagonal 10	NA	null		NA			null	null
111	Candado fino 13	NA	null		NA			null	null
433	ML Ruta Marco-W - Amarillo, 44	Amarillo	540,7545	44	42-46 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
474	Pantalón corto Mujer Montaña, S	Negro	69,99	S	S	M	Pantalón corto Mujer Montaña	Pantalones cortos	Ropa
338	Ruta-650 Negro, 44	Negro	699,0982	44	42-46 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
253	LL Ruta Marco - Negro, 58	Negro	297,6346	58	54-58 CM	R	LL Ruta Marco	Ruta Marco	Componentes
151	Candado 2	NA	null		NA			null	null
240	HL Ruta Marco - Rojo, 62	Rojo	1431,5	62	60-62 CM	R	HL Ruta Marco	Ruta Marco	Componentes
520	HL Ruta Asiento/Sillín	NA	52,64		NA	R	HL Ruta Asiento/Sillín 2	Asientos	Componentes
525	LL Montaña Marco - Plateado, 44	Plateado	264,05	44	42-46 CM	M	LL Montaña Marco	Montaña Marco	Componentes
333	Ruta-650 Negro, 58	Negro	782,99	58	54-58 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
310	Ruta-150 Rojo, 62	Rojo	3578,27	62	60-62 CM	R	Ruta-150	Ruta Bicicletas	Bicicletas
44	Candado hexagonal 5	NA	null		NA			null	null
292	HL Montaña Marco - Plateado, 48	Plateado	1364,5	48	48-52 CM	M	HL Montaña Marco	Montaña Marco	Componentes
116	Candado fino 11	NA	null		NA			null	null
410	LL Montaña Rueda delantera	Negro	60,745		NA	M	LL Montaña Rueda delantera	Ruedas	Componentes
411	ML Montaña Rueda delantera	Negro	209,025		NA	M	ML Montaña Rueda delantera	Ruedas	Componentes
431	ML Ruta Marco-W - Amarillo, 42	Amarillo	540,7545	42	42-46 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
429	ML Ruta Marco-W - Amarillo, 40	Amarillo	540,7545	40	38-40 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
156	Barra de metal 1	NA	null		NA			null	null
603	HL Pedal	NA	121,49		NA		HL Pedal	Pedales	Componentes
260	LL Ruta Marco - Negro, 62	Negro	306,5636	62	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
49	Candado hexagonal 14	NA	null		NA			null	null
121	Candado de bloqueo 7	NA	null		NA			null	null
324	Ruta-650 Rojo, 62	Rojo	699,0982	62	60-62 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
23	Candado plano 6	NA	null		NA			null	null
374	Ruta-250 Negro, 44	Negro	2443,35	44	42-46 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
377	Ruta-250 Negro, 52	Negro	2181,5625	52	48-52 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
161	Lámina de metal 2	NA	null		NA			null	null
448	Minibomba	NA	19,99		NA	S	Minibomba	Bombas	Accesorios
396	HL Auriculares	NA	124,73		NA		HL Auriculares	Auricularess	Componentes
466	Guantes media mano, L	Negro	23,5481	L	L	S	Guantes media mano	Guantes	Ropa
54	Tuerca Hexagonal 5	NA	null		NA			null	null
589	Montaña-400-W Plateado, 42	Plateado	769,49	42	42-46 CM	M	Montaña-400-W	Montaña Bicicletas	Bicicletas
126	Candado de bloqueo 12	NA	null		NA			null	null
28	Candado plano 8	NA	null		NA			null	null
544	HL Montaña Pedal	Plateado/Negro	80,99		NA	M	HL Montaña Pedal	Pedales	Componentes
166	Lámina de metal 6	NA	null		NA			null	null
78	Tubo de cabeza	NA	null		NA			null	null
200	Radios	NA	null		NA			null	null
581	Ruta-350-W Amarillo, 42	Amarillo	1700,99	42	42-46 CM	R	Ruta-350-W	Ruta Bicicletas	Bicicletas
473	Chaleco clásico, L	Azul	63,5	L	L	S	Chaleco clásico	Chalecos	Ropa
502	LL Turismo Marco - Azul, 50	Azul	333,42	50	48-52 CM	T	LL Turismo Marco	Turismo Marco	Componentes
59	Tuerca Hexagonal 8	NA	null		NA			null	null
131	Candado de bloqueo 2	NA	null		NA			null	null
244	HL Ruta Marco - Rojo, 48	Rojo	1263,4598	48	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
239	HL Ruta Marco - Rojo, 62	Rojo	1301,3636	62	60-62 CM	R	HL Ruta Marco	Ruta Marco	Componentes
327	Ruta-650 Rojo, 44	Rojo	782,99	44	42-46 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
221	Deporte-100 Casco, Azul	Azul	33,6442		NA	S	Deporte-100	Cascos	Accesorios
486	Soporte Bicicleta Multiuso	NA	159		NA	M	Soporte Bicicleta Multiuso	Soportes de bicicletas	Accesorios
591	Montaña-500 Plateado, 40	Plateado	564,99	40	38-40 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
584	Ruta-750 Negro, 58	Negro	539,99	58	54-58 CM	R	Ruta-750	Ruta Bicicletas	Bicicletas
64	Tuerca Hexagonal 13	NA	null		NA			null	null
568	Turismo-3000 Amarillo, 44	Amarillo	742,35	44	42-46 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
136	Candado de bloqueo 15	NA	null		NA			null	null
224	AWC Gorra con Logo	Múltiple	8,6442		NA	S	Gorra de ciclismo	Gorras	Ropa
495	HL Turismo Marco - Amarillo, 50	Amarillo	1003,91	50	48-52 CM	T	HL Turismo Marco	Turismo Marco	Componentes
12	Corona de la carrera	NA	null		NA			null	null
10	Tuerca de plato	Plateado	null		NA			null	null
367	Montaña-300 Negro, 48	Negro	1079,99	48	48-52 CM	M	Montaña-300	Montaña Bicicletas	Bicicletas
69	Tuerca Hexagonal 20	NA	null		NA			null	null
215	Deporte-100 Casco, Negro	Negro	33,6442		NA	S	Deporte-100	Cascos	Accesorios
322	Ruta-650 Rojo, 60	Rojo	699,0982	60	60-62 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
195	HL Turismo Embalaje del asiento	NA	null		NA			null	null
231	Manga larga Jersey, M	Múltiple	49,99	M	M	S	Manga larga Jersey	Jerseys	Ropa
463	Guantes media mano, S	Negro	24,49	S	S	S	Guantes media mano	Guantes	Ropa
435	ML Ruta Marco-W - Amarillo, 48	Amarillo	540,7545	48	48-52 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
293	HL Montaña Marco - Plateado, 46	Plateado	1204,3248	46	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
523	HL Turismo Asiento/Sillín	NA	52,64		NA	T	HL Turismo Asiento/Sillín	Asientos	Componentes
343	Ruta-650 Negro, 52	Negro	782,99	52	48-52 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
212	Deporte-100 Casco, Rojo	Rojo	33,6442		NA	S	Deporte-100	Cascos	Accesorios
456	Licra de mujer S	Negro	74,99	S	S	S	Mallas de mujer	Mallas	Ropa
74	Tuerca Hexagonal 4	NA	null		NA			null	null
538	LL Ruta Neumáticos	NA	21,49		NA	R	LL Ruta Neumáticos	Neumáticos y tubos	Accesorios
418	ML Ruta Marco-W - Amarillo, 38	Amarillo	594,83	38	38-40 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
395	ML Auriculares	NA	102,29		NA		ML Auriculares	Auricularess	Componentes
173	Pintura - Plateado	NA	null		NA			null	null
177	Copa de la carrera	NA	null		NA			null	null
561	Turismo-1000 Amarillo, 46	Amarillo	2384,07	46	42-46 CM	T	Turismo-1000	Turismo Bicicletas	Bicicletas
202	Tallo	NA	null		NA			null	null
592	Montaña-500 Plateado, 42	Plateado	564,99	42	42-46 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
412	HL Montaña Rueda delantera	Negro	300,215		NA	M	HL Montaña Rueda delantera	Ruedas	Componentes
18	Ruta Tapas de los extremos	NA	null		NA			null	null
222	Deporte-100 Casco, Azul	Azul	34,99		NA	S	Deporte-100	Cascos	Accesorios
182	HL Montaña Llanta	NA	null		NA			null	null
37	HL Cinta de agarre	NA	null		NA			null	null
440	HL Ruta Marco - Negro, 44	Negro	1431,5	44	42-46 CM	R	HL Ruta Marco	Ruta Marco	Componentes
207	Tubo superior	NA	null		NA			null	null
586	Turismo-3000 Azul, 50	Azul	742,35	50	48-52 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
582	Ruta-350-W Amarillo, 44	Amarillo	1700,99	44	42-46 CM	R	Ruta-350-W	Ruta Bicicletas	Bicicletas
83	Externo Candado 4	NA	null		NA			null	null
365	Montaña-300 Negro, 40	Negro	1079,99	40	38-40 CM	M	Montaña-300	Montaña Bicicletas	Bicicletas
453	Pantalón corto deportivo de Hombre, M	Negro	59,99	M	M	S	Pantalón corto deportivo de Hombre	Pantalones cortos	Ropa
519	ML Ruta Asiento/Sillín	NA	39,14		NA	T	ML Ruta Asiento/Sillín 2	Asientos	Componentes
450	Luces traseras Rojas	NA	13,99		NA	R	Luz de cola	Luces	Accesorios
475	Pantalón corto Mujer Montaña, M	Negro	69,99	M	M	M	Pantalón corto Mujer Montaña	Pantalones cortos	Ropa
380	Ruta-250 Negro, 58	Negro	2443,35	58	54-58 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
384	Ruta-550-W Amarillo, 40	Amarillo	1120,49	40	38-40 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
445	Pantalón corto deportivo de Hombre, S	Negro	59,99	S	S	S	Pantalón corto deportivo de Hombre	Pantalones cortos	Ropa
88	Externo Candado 1	NA	null		NA			null	null
455	Pantalón corto deportivo de Hombre, XL	Negro	59,99	XL	XL	S	Pantalón corto deportivo de Hombre	Pantalones cortos	Ropa
358	Montaña-200 Negro, 38	Negro	2049,0982	38	38-40 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
93	Interno Candado 9	NA	null		NA			null	null
294	HL Montaña Marco - Plateado, 46	Plateado	1240,4545	46	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
439	HL Ruta Marco - Negro, 44	Negro	1301,3636	44	42-46 CM	R	HL Ruta Marco	Ruta Marco	Componentes
458	Licra de mujer L	Negro	74,99	L	L	S	Mallas de mujer	Mallas	Ropa
233	Manga larga Jersey, L	Múltiple	48,0673	L	L	S	Manga larga Jersey	Jerseys	Ropa
196	LL Eje	NA	null		NA			null	null
98	Interno Candado 1	NA	null		NA			null	null
382	Ruta-550-W Amarillo, 38	Amarillo	1120,49	38	38-40 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
404	LL Ruta Manillar	NA	44,54		NA	R	LL Ruta Manillar	Manillar	Componentes
572	Turismo-3000 Amarillo, 62	Amarillo	742,35	62	60-62 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
6	LL Biela	Negro	null		NA			null	null
276	ML Ruta Marco - Rojo, 52	Rojo	594,83	52	48-52 CM	R	ML Ruta Marco	Ruta Marco	Componentes
5	Espada	NA	null		NA			null	null
14	Calcomanía 1	NA	null		NA			null	null
103	Candado fino 1	NA	null		NA			null	null
593	Montaña-500 Plateado, 44	Plateado	564,99	44	42-46 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
574	Turismo-1000 Azul, 50	Azul	2384,07	50	48-52 CM	T	Turismo-1000	Turismo Bicicletas	Bicicletas
143	Candado 5	NA	null		NA			null	null
348	Montaña-100 Negro, 38	Negro	3374,99	38	38-40 CM	M	Montaña-100	Montaña Bicicletas	Bicicletas
279	LL Ruta Marco - Negro, 44	Negro	297,6346	44	42-46 CM	R	LL Ruta Marco	Ruta Marco	Componentes
442	HL Ruta Marco - Negro, 48	Negro	1431,5	48	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
198	LL Armazón	NA	null		NA			null	null
108	Candado fino 6	NA	null		NA			null	null
216	Deporte-100 Casco, Negro	Negro	33,6442		NA	S	Deporte-100	Cascos	Accesorios
148	Candado 1	NA	null		NA			null	null
543	ML Montaña Pedal	Plateado/Negro	62,09		NA	M	ML Montaña Pedal	Pedales	Componentes
287	LL Ruta Marco - Negro, 52	Negro	337,22	52	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
291	HL Montaña Marco - Plateado, 44	Plateado	1364,5	44	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
21	Rueda libre	Plateado	null		NA			null	null
213	Deporte-100 Casco, Rojo	Rojo	33,6442		NA	S	Deporte-100	Cascos	Accesorios
41	Candado hexagonal 2	NA	null		NA			null	null
113	Candado fino 7	NA	null		NA			null	null
390	Ruta-550-W Amarillo, 48	Amarillo	1120,49	48	48-52 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
236	Manga larga Jersey, XL	Múltiple	48,0673	XL	XL	S	Manga larga Jersey	Jerseys	Ropa
153	Candado 3	NA	null		NA			null	null
518	LL Ruta Asiento/Sillín	NA	27,12		NA	R	LL Ruta Asiento/Sillín 1	Asientos	Componentes
344	Montaña-100 Plateado, 38	Plateado	3399,99	38	38-40 CM	M	Montaña-100	Montaña Bicicletas	Bicicletas
7	ML Biela	Negro	null		NA			null	null
353	Montaña-200 Plateado, 38	Plateado	2319,99	38	38-40 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
419	LL Montaña Rueda trasera	Negro	87,745		NA	M	LL Montaña Rueda trasera	Ruedas	Componentes
420	ML Montaña Rueda trasera	Negro	236,025		NA	M	ML Montaña Rueda trasera	Ruedas	Componentes
46	Candado hexagonal 3	NA	null		NA			null	null
118	Candado de bloqueo 6	NA	null		NA			null	null
534	LL Montaña Marco - Negro, 52	Negro	249,79	52	48-52 CM	M	LL Montaña Marco	Montaña Marco	Componentes
563	Turismo-1000 Amarillo, 54	Amarillo	2384,07	54	54-58 CM	T	Turismo-1000	Turismo Bicicletas	Bicicletas
158	Placa metálica 2	NA	null		NA			null	null
51	Candado hexagonal 8	NA	null		NA			null	null
123	Candado de bloqueo 9	NA	null		NA			null	null
297	HL Montaña Marco - Negro, 42	Negro	1226,9091	42	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
25	Candado plano 9	NA	null		NA			null	null
441	HL Ruta Marco - Negro, 48	Negro	1301,3636	48	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
163	Lámina de metal 7	NA	null		NA			null	null
576	Turismo-1000 Azul, 60	Azul	2384,07	60	60-62 CM	T	Turismo-1000	Turismo Bicicletas	Bicicletas
56	Tuerca Hexagonal 16	NA	null		NA			null	null
128	Candado de bloqueo 1	NA	null		NA			null	null
535	LL Montaña Neumáticos	NA	24,99		NA	M	LL Montaña Neumáticos	Neumáticos y tubos	Accesorios
528	Montaña Neumáticos Tube	NA	4,99		NA	M	Montaña Neumáticos Tube	Neumáticos y tubos	Accesorios
30	Candado plano 7	NA	null		NA			null	null
556	LL Platos y bielas	Negro	175,49		NA		LL Platos y bielas	Platos y bielas	Componentes
168	Placa de rodadura de metal	NA	null		NA			null	null
595	Montaña-500 Plateado, 52	Plateado	564,99	52	48-52 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
227	Manga larga Jersey, S	Múltiple	48,0673	S	S	S	Manga larga Jersey	Jerseys	Ropa
217	Deporte-100 Casco, Negro	Negro	34,99		NA	S	Deporte-100	Cascos	Accesorios
500	HL Turismo Marco - Azul, 60	Azul	1003,91	60	60-62 CM	T	HL Turismo Marco	Turismo Marco	Componentes
61	Tuerca Hexagonal 22	NA	null		NA			null	null
133	Candado de bloqueo 21	NA	null		NA			null	null
214	Deporte-100 Casco, Rojo	Rojo	34,99		NA	S	Deporte-100	Cascos	Accesorios
451	Faros delanteros	NA	34,99		NA	R	Faros delanteros	Luces	Accesorios
241	HL Ruta Marco - Rojo, 44	Rojo	1263,4598	44	42-46 CM	R	HL Ruta Marco	Ruta Marco	Componentes
371	Ruta-250 Rojo, 58	Rojo	2181,5625	58	54-58 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
66	Tuerca Hexagonal 10	NA	null		NA			null	null
138	Candado de bloqueo 19	NA	null		NA			null	null
388	Ruta-550-W Amarillo, 44	Amarillo	1120,49	44	42-46 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
192	HL Ruta Embalaje del asiento	NA	null		NA			null	null
79	LL Cubo	NA	null		NA			null	null
533	LL Montaña Marco - Negro, 48	Negro	249,79	48	48-52 CM	M	LL Montaña Marco	Montaña Marco	Componentes
277	ML Ruta Marco - Rojo, 58	Rojo	594,83	58	54-58 CM	R	ML Ruta Marco	Ruta Marco	Componentes
328	Ruta-650 Rojo, 48	Rojo	699,0982	48	48-52 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
360	Montaña-200 Negro, 42	Negro	2049,0982	42	42-46 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
478	Montaña Porta botella	NA	9,99		NA	M	Montaña Porta botella	Botella y estuche	Accesorios
284	LL Ruta Marco - Negro, 48	Negro	337,22	48	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
513	ML Montaña Marco-W - Plateado, 46	Plateado	364,09	46	42-46 CM	M	ML Montaña Marco-W	Montaña Marco	Componentes
71	Tuerca Hexagonal 3	NA	null		NA			null	null
521	LL Turismo Asiento/Sillín	NA	27,12		NA	T	LL Turismo Asiento/Sillín	Asientos	Componentes
303	HL Montaña Marco - Negro, 46	Negro	1349,6	46	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
524	LL Montaña Marco - Plateado, 42	Plateado	264,05	42	42-46 CM	M	LL Montaña Marco	Montaña Marco	Componentes
337	Ruta-650 Negro, 62	Negro	782,99	62	60-62 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
362	Montaña-200 Negro, 46	Negro	2049,0982	46	42-46 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
76	Tuerca Hexagonal 19	NA	null		NA			null	null
33	Desviador delantero Enlace	Plateado	null		NA			null	null
1	Carrera Ajustable	NA	null		NA			null	null
175	Pintura - Amarillo	NA	null		NA			null	null
179	Reflector	NA	null		NA			null	null
34	Polea guía	NA	null		NA			null	null
259	LL Ruta Marco - Negro, 62	Negro	297,6346	62	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
421	HL Montaña Rueda trasera	Negro	327,215		NA	M	HL Montaña Rueda trasera	Ruedas	Componentes
204	Tubo de dirección	NA	null		NA			null	null
274	ML Ruta Marco - Rojo, 44	Rojo	594,83	44	42-46 CM	R	ML Ruta Marco	Ruta Marco	Componentes
257	LL Ruta Marco - Negro, 60	Negro	306,5636	60	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
193	LL Turismo Embalaje del asiento	NA	null		NA			null	null
352	Montaña-200 Plateado, 38	Plateado	2071,4196	38	38-40 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
255	LL Ruta Marco - Negro, 58	Negro	337,22	58	54-58 CM	R	LL Ruta Marco	Ruta Marco	Componentes
402	HL Montaña Manillar	NA	120,27		NA	M	HL Montaña Manillar	Manillar	Componentes
481	Calcetines de carreras, M	Blanco	8,99	M	M	R	Calcetines de carreras	Calcetines	Ropa
554	HL Turismo Manillar	NA	91,57		NA	T	HL Turismo Manillar	Manillar	Componentes
197	HL Eje	NA	null		NA			null	null
529	Ruta Tubo de neumáticos	NA	3,99		NA	R	Ruta Tubo de neumáticos	Neumáticos y tubos	Accesorios
512	ML Montaña Marco-W - Plateado, 42	Plateado	364,09	42	42-46 CM	M	ML Montaña Marco-W	Montaña Marco	Componentes
335	Ruta-650 Negro, 60	Negro	782,99	60	60-62 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
85	Externo Candado 5	NA	null		NA			null	null
601	LL Pedal	NA	53,99		NA		LL Pedal	Pedales	Componentes
452	Faros - Impermeable	NA	44,99		NA	R	Faros - Impermeable	Luces	Accesorios
271	LL Ruta Marco - Rojo, 60	Rojo	337,22	60	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
504	LL Turismo Marco - Azul, 58	Azul	333,42	58	54-58 CM	T	LL Turismo Marco	Turismo Marco	Componentes
273	LL Ruta Marco - Rojo, 62	Rojo	337,22	62	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
180	LL Montaña Llanta	NA	null		NA			null	null
169	LL Protector	NA	null		NA			null	null
238	HL Ruta Marco - Rojo, 62	Rojo	1263,4598	62	60-62 CM	R	HL Ruta Marco	Ruta Marco	Componentes
570	Turismo-3000 Amarillo, 54	Amarillo	742,35	54	54-58 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
355	Montaña-200 Plateado, 42	Plateado	2319,99	42	42-46 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
90	Externo Candado 2	NA	null		NA			null	null
35	LL Cinta de agarre	NA	null		NA			null	null
309	HL Montaña Marco - Plateado, 38	Plateado	1364,5	38	38-40 CM	M	HL Montaña Marco	Montaña Marco	Componentes
199	HL Armazón	NA	null		NA			null	null
403	LL Ruta Manillar	NA	40,4909		NA	R	LL Ruta Manillar	Manillar	Componentes
230	Manga larga Jersey, M	Múltiple	48,0673	M	M	S	Manga larga Jersey	Jerseys	Ropa
194	ML Turismo Embalaje del asiento	NA	null		NA			null	null
317	Ruta-450 Rojo, 44	Rojo	1457,99	44	42-46 CM	R	Ruta-450	Ruta Bicicletas	Bicicletas
357	Montaña-200 Plateado, 46	Plateado	2319,99	46	42-46 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
170	HL Protector	NA	null		NA			null	null
332	Ruta-650 Negro, 58	Negro	699,0982	58	54-58 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
95	Interno Candado 7	NA	null		NA			null	null
319	Ruta-450 Rojo, 52	Rojo	1457,99	52	48-52 CM	R	Ruta-450	Ruta Bicicletas	Bicicletas
368	Ruta-250 Rojo, 44	Rojo	2443,35	44	42-46 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
218	Montaña Bicicleta Calcetines, M	Blanco	9,5	M	M	M	Montaña Bicicleta Calcetines	Calcetines	Ropa
370	Ruta-250 Rojo, 52	Rojo	2443,35	52	48-52 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
366	Montaña-300 Negro, 44	Negro	1079,99	44	42-46 CM	M	Montaña-300	Montaña Bicicletas	Bicicletas
479	Ruta Porta botella	NA	8,99		NA	R	Ruta Porta botella	Botella y estuche	Accesorios
263	LL Ruta Marco - Rojo, 44	Rojo	337,22	44	42-46 CM	R	LL Ruta Marco	Ruta Marco	Componentes
573	Turismo-1000 Azul, 46	Azul	2384,07	46	42-46 CM	T	Turismo-1000	Turismo Bicicletas	Bicicletas
290	HL Montaña Marco - Plateado, 42	Plateado	1364,5	42	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
100	Interno Candado 2	NA	null		NA			null	null
604	Ruta-750 Negro, 44	Negro	539,99	44	42-46 CM	R	Ruta-750	Ruta Bicicletas	Bicicletas
300	HL Montaña Marco - Negro, 48	Negro	1349,6	48	48-52 CM	M	HL Montaña Marco	Montaña Marco	Componentes
13	Cadena S.	NA	null		NA			null	null
606	Ruta-750 Negro, 52	Negro	539,99	52	48-52 CM	R	Ruta-750	Ruta Bicicletas	Bicicletas
11	Plato	Negro	null		NA			null	null
301	HL Montaña Marco - Negro, 46	Negro	1191,1739	46	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
105	Candado fino 15	NA	null		NA			null	null
36	ML Cinta de agarre	NA	null		NA			null	null
351	Montaña-100 Negro, 48	Negro	3374,99	48	48-52 CM	M	Montaña-100	Montaña Bicicletas	Bicicletas
145	Candado 6	NA	null		NA			null	null
499	HL Turismo Marco - Azul, 54	Azul	1003,91	54	54-58 CM	T	HL Turismo Marco	Turismo Marco	Componentes
38	Candado hexagonal 9	NA	null		NA			null	null
232	Manga larga Jersey, L	Múltiple	48,0673	L	L	S	Manga larga Jersey	Jerseys	Ropa
